# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_approach_design_000_plot.csv
# Clean Polar
# Mach Number 0.200000
AoA; C_L; C_Dtotal; C_M; L/D; i_stab;
11.269;2.4000;0.275193;-0.295738;8.721162;0.000000;
11.379;2.4100;0.277220;-0.297988;8.693465;0.000000;
11.490;2.4200;0.279257;-0.300238;8.665860;0.000000;
11.600;2.4300;0.281304;-0.302488;8.638346;0.000000;
11.711;2.4400;0.283361;-0.304738;8.610924;0.000000;
11.821;2.4500;0.285428;-0.306989;8.583597;0.000000;
11.932;2.4600;0.287505;-0.309239;8.556364;0.000000;
12.042;2.4700;0.289593;-0.311489;8.529226;0.000000;
12.152;2.4800;0.291690;-0.313739;8.502184;0.000000;
12.263;2.4900;0.293797;-0.315989;8.475239;0.000000;
12.373;2.5000;0.295914;-0.318239;8.448391;0.000000;
12.484;2.5100;0.298042;-0.320490;8.421641;0.000000;
12.594;2.5200;0.300179;-0.322740;8.394990;0.000000;
12.704;2.5300;0.302326;-0.324990;8.368438;0.000000;
12.815;2.5400;0.304484;-0.327240;8.341986;0.000000;
12.925;2.5500;0.306651;-0.329490;8.315634;0.000000;
13.036;2.5600;0.308829;-0.331740;8.289383;0.000000;
13.146;2.5700;0.311016;-0.333991;8.263233;0.000000;
13.257;2.5800;0.313214;-0.336241;8.237184;0.000000;
13.367;2.5900;0.315421;-0.338491;8.211238;0.000000;
13.477;2.6000;0.317639;-0.340741;8.185393;0.000000;
13.588;2.6100;0.319867;-0.342991;8.159651;0.000000;
13.698;2.6200;0.322104;-0.345241;8.134012;0.000000;
13.809;2.6300;0.324352;-0.347491;8.108475;0.000000;
13.919;2.6400;0.326610;-0.349742;8.083042;0.000000;
14.029;2.6500;0.328877;-0.351992;8.057713;0.000000;
14.140;2.6600;0.331155;-0.354242;8.032487;0.000000;
14.250;2.6700;0.333443;-0.356492;8.007365;0.000000;
14.361;2.6800;0.335741;-0.358742;7.982346;0.000000;
14.471;2.6900;0.338049;-0.360992;7.957432;0.000000;
14.582;2.7000;0.340367;-0.363243;7.932622;0.000000;
14.692;2.7100;0.342695;-0.365493;7.907916;0.000000;
14.802;2.7200;0.345033;-0.367743;7.883314;0.000000;
14.913;2.7300;0.347381;-0.369993;7.858817;0.000000;
