# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_takeoff_design_000_plot.csv
# Clean Polar
# Mach Number 0.200000
AoA; C_L; C_Dtotal; C_M; L/D; i_stab;
0.354;1.0900;0.074964;-0.060967;14.540341;0.000000;
0.464;1.1000;0.075777;-0.063217;14.516229;0.000000;
0.575;1.1100;0.076601;-0.065467;14.490731;0.000000;
0.685;1.1200;0.077434;-0.067718;14.463901;0.000000;
0.795;1.1300;0.078278;-0.069968;14.435793;0.000000;
0.906;1.1400;0.079131;-0.072218;14.406458;0.000000;
1.016;1.1500;0.079995;-0.074468;14.375946;0.000000;
1.127;1.1600;0.080868;-0.076718;14.344307;0.000000;
1.237;1.1700;0.081752;-0.078968;14.311588;0.000000;
1.347;1.1800;0.082646;-0.081219;14.277836;0.000000;
1.458;1.1900;0.083549;-0.083469;14.243096;0.000000;
1.568;1.2000;0.084463;-0.085719;14.207412;0.000000;
1.679;1.2100;0.085387;-0.087969;14.170827;0.000000;
1.789;1.2200;0.086320;-0.090219;14.133382;0.000000;
1.900;1.2300;0.087264;-0.092469;14.095119;0.000000;
2.010;1.2400;0.088218;-0.094719;14.056076;0.000000;
2.120;1.2500;0.089182;-0.096970;14.016292;0.000000;
2.231;1.2600;0.090156;-0.099220;13.975804;0.000000;
2.341;1.2700;0.091140;-0.101470;13.934647;0.000000;
2.452;1.2800;0.092134;-0.103720;13.892857;0.000000;
2.562;1.2900;0.093138;-0.105970;13.850468;0.000000;
2.672;1.3000;0.094152;-0.108220;13.807511;0.000000;
2.783;1.3100;0.095176;-0.110471;13.764019;0.000000;
2.893;1.3200;0.096210;-0.112721;13.720023;0.000000;
3.004;1.3300;0.097254;-0.114971;13.675552;0.000000;
3.114;1.3400;0.098308;-0.117221;13.630634;0.000000;
3.225;1.3500;0.099372;-0.119471;13.585299;0.000000;
3.335;1.3600;0.100446;-0.121721;13.539572;0.000000;
3.445;1.3700;0.101531;-0.123972;13.493479;0.000000;
3.556;1.3800;0.102625;-0.126222;13.447046;0.000000;
3.666;1.3900;0.103729;-0.128472;13.400297;0.000000;
3.777;1.4000;0.104843;-0.130722;13.353256;0.000000;
3.887;1.4100;0.105968;-0.132972;13.305944;0.000000;
3.997;1.4200;0.107102;-0.135222;13.258384;0.000000;
4.108;1.4300;0.108246;-0.137472;13.210596;0.000000;
4.218;1.4400;0.109401;-0.139723;13.162602;0.000000;
4.329;1.4500;0.110565;-0.141973;13.114420;0.000000;
4.439;1.4600;0.111740;-0.144223;13.066070;0.000000;
4.550;1.4700;0.112924;-0.146473;13.017569;0.000000;
4.660;1.4800;0.114119;-0.148723;12.968935;0.000000;
4.770;1.4900;0.115323;-0.150973;12.920184;0.000000;
4.881;1.5000;0.116538;-0.153224;12.871334;0.000000;
4.991;1.5100;0.117763;-0.155474;12.822400;0.000000;
5.102;1.5200;0.118997;-0.157724;12.773396;0.000000;
5.212;1.5300;0.120242;-0.159974;12.724336;0.000000;
5.322;1.5400;0.121497;-0.162224;12.675236;0.000000;
5.433;1.5500;0.122762;-0.164474;12.626108;0.000000;
5.543;1.5600;0.124036;-0.166725;12.576965;0.000000;
5.654;1.5700;0.125321;-0.168975;12.527819;0.000000;
5.764;1.5800;0.126616;-0.171225;12.478681;0.000000;
5.875;1.5900;0.127921;-0.173475;12.429564;0.000000;
5.985;1.6000;0.129236;-0.175725;12.380478;0.000000;
6.095;1.6100;0.130561;-0.177975;12.331433;0.000000;
6.206;1.6200;0.131896;-0.180226;12.282440;0.000000;
6.316;1.6300;0.133241;-0.182476;12.233507;0.000000;
6.427;1.6400;0.134596;-0.184726;12.184645;0.000000;
6.537;1.6500;0.135961;-0.186976;12.135861;0.000000;
6.647;1.6600;0.137336;-0.189226;12.087164;0.000000;
6.758;1.6700;0.138721;-0.191476;12.038562;0.000000;
6.868;1.6800;0.140116;-0.193726;11.990063;0.000000;
6.979;1.6900;0.141521;-0.195977;11.941674;0.000000;
7.089;1.7000;0.142936;-0.198227;11.893401;0.000000;
7.200;1.7100;0.144362;-0.200477;11.845252;0.000000;
7.310;1.7200;0.145797;-0.202727;11.797233;0.000000;
7.420;1.7300;0.147242;-0.204977;11.749350;0.000000;
7.531;1.7400;0.148698;-0.207227;11.701608;0.000000;
7.641;1.7500;0.150163;-0.209478;11.654013;0.000000;
7.752;1.7600;0.151638;-0.211728;11.606570;0.000000;
7.862;1.7700;0.153124;-0.213978;11.559285;0.000000;
7.972;1.7800;0.154619;-0.216228;11.512161;0.000000;
8.083;1.7900;0.156125;-0.218478;11.465203;0.000000;
8.193;1.8000;0.157640;-0.220728;11.418416;0.000000;
8.304;1.8100;0.159166;-0.222979;11.371803;0.000000;
8.414;1.8200;0.160701;-0.225229;11.325368;0.000000;
8.525;1.8300;0.162247;-0.227479;11.279115;0.000000;
8.635;1.8400;0.163802;-0.229729;11.233047;0.000000;
8.745;1.8500;0.165368;-0.231979;11.187167;0.000000;
8.856;1.8600;0.166944;-0.234229;11.141479;0.000000;
8.966;1.8700;0.168529;-0.236479;11.095984;0.000000;
9.077;1.8800;0.170125;-0.238730;11.050686;0.000000;
9.187;1.8900;0.171731;-0.240980;11.005587;0.000000;
9.297;1.9000;0.173347;-0.243230;10.960690;0.000000;
9.408;1.9100;0.174973;-0.245480;10.915995;0.000000;
9.518;1.9200;0.176608;-0.247730;10.871507;0.000000;
9.629;1.9300;0.178254;-0.249980;10.827226;0.000000;
9.739;1.9400;0.179910;-0.252231;10.783153;0.000000;
9.850;1.9500;0.181576;-0.254481;10.739292;0.000000;
9.960;1.9600;0.183252;-0.256731;10.695642;0.000000;
10.070;1.9700;0.184938;-0.258981;10.652206;0.000000;
10.181;1.9800;0.186634;-0.261231;10.608985;0.000000;
10.291;1.9900;0.188340;-0.263481;10.565979;0.000000;
