# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/mission_analysis_design_mission_SAR.csv
# Diagram about specific air range
# Ma-Number [-]; Altitude [FL]; AC mass [kg]; SAR [m/kg];
0.74; 260; 47.2553; 442.421; 
0.74; 265; 47.2553; 449.934; 
0.74; 270; 47.2553; 457.432; 
0.74; 275; 47.2553; 465.036; 
0.74; 280; 47.2553; 472.705; 
0.74; 285; 47.2553; 480.286; 
0.74; 290; 47.2553; 487.946; 
0.74; 295; 47.2553; 495.682; 
0.74; 300; 47.2553; 503.297; 
0.74; 305; 47.2553; 510.921; 
0.74; 310; 47.2553; 518.584; 
0.74; 315; 47.2553; 526.143; 
0.74; 320; 47.2553; 533.644; 
0.74; 325; 47.2553; 541.139; 
0.74; 330; 47.2553; 548.534; 
0.74; 335; 47.2553; 555.749; 
0.74; 340; 47.2553; 562.911; 
0.74; 345; 47.2553; 569.983; 
0.74; 350; 47.2553; 576.768; 
0.74; 355; 47.2553; 583.441; 
0.74; 360; 47.2553; 589.982; 
0.74; 365; 47.2553; 595.84; 
0.74; 370; 47.2553; 601.197; 
0.74; 375; 47.2553; 606.238; 
0.74; 380; 47.2553; 610.65; 
0.74; 385; 47.2553; 614.384; 
0.74; 390; 47.2553; 617.657; 
0.74; 395; 47.2553; 618.851; 
0.74; 400; 47.2553; 618.584; 
0.74; 405; 47.2553; 617.518; 
0.74; 260; 48.5325; 439.631; 
0.74; 265; 48.5325; 446.957; 
0.74; 270; 48.5325; 454.286; 
0.74; 275; 48.5325; 461.711; 
0.74; 280; 48.5325; 469.165; 
0.74; 285; 48.5325; 476.543; 
0.74; 290; 48.5325; 483.989; 
0.74; 295; 48.5325; 491.494; 
0.74; 300; 48.5325; 498.853; 
0.74; 305; 48.5325; 506.221; 
0.74; 310; 48.5325; 513.613; 
0.74; 315; 48.5325; 520.887; 
0.74; 320; 48.5325; 528.086; 
0.74; 325; 48.5325; 535.262; 
0.74; 330; 48.5325; 542.325; 
0.74; 335; 48.5325; 549.199; 
0.74; 340; 48.5325; 555.996; 
0.74; 345; 48.5325; 562.686; 
0.74; 350; 48.5325; 569.072; 
0.74; 355; 48.5325; 575.313; 
0.74; 360; 48.5325; 581.369; 
0.74; 365; 48.5325; 586.639; 
0.74; 370; 48.5325; 591.485; 
0.74; 375; 48.5325; 595.819; 
0.74; 380; 48.5325; 599.52; 
0.74; 385; 48.5325; 602.629; 
0.74; 390; 48.5325; 603.47; 
0.74; 395; 48.5325; 603.146; 
0.74; 400; 48.5325; 602.038; 
0.74; 405; 48.5325; 599.938; 
0.74; 260; 49.8097; 436.785; 
0.74; 265; 49.8097; 443.93; 
0.74; 270; 49.8097; 451.09; 
0.74; 275; 49.8097; 458.329; 
0.74; 280; 49.8097; 465.568; 
0.74; 285; 49.8097; 472.743; 
0.74; 290; 49.8097; 479.971; 
0.74; 295; 49.8097; 487.242; 
0.74; 300; 49.8097; 494.345; 
0.74; 305; 49.8097; 501.457; 
0.74; 310; 49.8097; 508.578; 
0.74; 315; 49.8097; 515.565; 
0.74; 320; 49.8097; 522.461; 
0.74; 325; 49.8097; 529.32; 
0.74; 330; 49.8097; 536.048; 
0.74; 335; 49.8097; 542.575; 
0.74; 340; 49.8097; 549.009; 
0.74; 345; 49.8097; 555.315; 
0.74; 350; 49.8097; 561.291; 
0.74; 355; 49.8097; 567.074; 
