# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_liftDistribution_078_plot.csv
# (1)C_L; (2)C_Lw; (3)y, m; (4)C_l; (5)Cl*l, m
-0.100000;-0.057663;16.468570;0.032941;1.107290
-0.100000;-0.057663;16.706270;0.024645;1.040147


-0.090000;-0.047958;0.330666;-0.146527;6.019268
-0.090000;-0.047958;0.991996;-0.139366;6.019268
-0.090000;-0.047958;1.653327;-0.117516;6.019268
-0.090000;-0.047958;2.491627;-0.065617;5.739122
-0.090000;-0.047958;3.506896;-0.041293;5.178829
-0.090000;-0.047958;4.522165;-0.035776;4.618536
-0.090000;-0.047958;5.864917;-0.031115;4.102494
-0.090000;-0.047958;7.518152;-0.023257;3.635507
-0.090000;-0.047958;9.120731;-0.017134;3.182828
-0.090000;-0.047958;10.640030;-0.012712;2.753673
-0.090000;-0.047958;12.045120;-0.009156;2.356778
-0.090000;-0.047958;13.307400;-0.005732;2.000223
-0.090000;-0.047958;14.401170;-0.001131;1.691267
-0.090000;-0.047958;15.304170;0.007505;1.436197
-0.090000;-0.047958;15.998010;0.023894;1.240209
-0.090000;-0.047958;16.468570;0.041038;1.107290
-0.090000;-0.047958;16.706270;0.028159;1.040147


-0.080000;-0.038253;0.330666;-0.138897;6.019268
-0.080000;-0.038253;0.991996;-0.131763;6.019268
-0.080000;-0.038253;1.653327;-0.109984;6.019268
-0.080000;-0.038253;2.491627;-0.057789;5.739122
-0.080000;-0.038253;3.506896;-0.032777;5.178829
-0.080000;-0.038253;4.522165;-0.026487;4.618536
-0.080000;-0.038253;5.864917;-0.021114;4.102494
-0.080000;-0.038253;7.518152;-0.012662;3.635507
-0.080000;-0.038253;9.120731;-0.005938;3.182828
-0.080000;-0.038253;10.640030;-0.000937;2.753673
-0.080000;-0.038253;12.045120;0.003151;2.356778
-0.080000;-0.038253;13.307400;0.007007;2.000223
-0.080000;-0.038253;14.401170;0.011806;1.691267
-0.080000;-0.038253;15.304170;0.020105;1.436197
-0.080000;-0.038253;15.998010;0.035058;1.240209
-0.080000;-0.038253;16.468570;0.049132;1.107290
-0.080000;-0.038253;16.706270;0.031671;1.040147


-0.070000;-0.028548;0.330666;-0.131266;6.019268
-0.070000;-0.028548;0.991996;-0.124159;6.019268
-0.070000;-0.028548;1.653327;-0.102452;6.019268
-0.070000;-0.028548;2.491627;-0.049960;5.739122
-0.070000;-0.028548;3.506896;-0.024260;5.178829
-0.070000;-0.028548;4.522165;-0.017198;4.618536
-0.070000;-0.028548;5.864917;-0.011114;4.102494
-0.070000;-0.028548;7.518152;-0.002067;3.635507
-0.070000;-0.028548;9.120731;0.005257;3.182828
-0.070000;-0.028548;10.640030;0.010837;2.753673
-0.070000;-0.028548;12.045120;0.015458;2.356778
-0.070000;-0.028548;13.307400;0.019745;2.000223
-0.070000;-0.028548;14.401170;0.024743;1.691267
-0.070000;-0.028548;15.304170;0.032705;1.436197
-0.070000;-0.028548;15.998010;0.046222;1.240209
-0.070000;-0.028548;16.468570;0.057226;1.107290
-0.070000;-0.028548;16.706270;0.035183;1.040147


