# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/mission_analysis_study_mission_SAR.csv
# Diagram about specific air range
# Ma-Number [-]; Altitude [FL]; AC mass [kg]; SAR [m/kg];
0.74; 395; 49.8598; 586.677; 
0.74; 400; 49.8598; 584.515; 
0.74; 405; 49.8598; 581.469; 
0.74; 260; 51.1383; 433.757; 
0.74; 265; 51.1383; 440.733; 
0.74; 270; 51.1383; 447.712; 
0.74; 275; 51.1383; 454.736; 
0.74; 280; 51.1383; 461.771; 
0.74; 285; 51.1383; 468.73; 
0.74; 290; 51.1383; 475.73; 
0.74; 295; 51.1383; 482.745; 
0.74; 300; 51.1383; 489.595; 
0.74; 305; 51.1383; 496.438; 
0.74; 310; 51.1383; 503.273; 
0.74; 315; 51.1383; 509.962; 
0.74; 320; 51.1383; 516.545; 
0.74; 325; 51.1383; 523.073; 
0.74; 330; 51.1383; 529.455; 
0.74; 335; 51.1383; 535.62; 
0.74; 340; 51.1383; 541.677; 
0.74; 345; 51.1383; 547.584; 
0.74; 350; 51.1383; 553.099; 
0.74; 355; 51.1383; 558.351; 
0.74; 360; 51.1383; 563.342; 
0.74; 365; 51.1383; 567.409; 
0.74; 370; 51.1383; 570.936; 
0.74; 375; 51.1383; 573.672; 
0.74; 380; 51.1383; 574.326; 
0.74; 385; 51.1383; 573.899; 
0.74; 390; 51.1383; 572.659; 
0.74; 395; 51.1383; 570.538; 
0.74; 400; 51.1383; 567.527; 
0.74; 405; 51.1383; 563.393; 
0.74; 260; 52.4168; 430.8; 
0.74; 265; 52.4168; 437.613; 
0.74; 270; 52.4168; 444.404; 
0.74; 275; 52.4168; 451.227; 
0.74; 280; 52.4168; 458.066; 
0.74; 285; 52.4168; 464.818; 
0.74; 290; 52.4168; 471.593; 
0.74; 295; 52.4168; 478.36; 
0.74; 300; 52.4168; 484.965; 
0.74; 305; 52.4168; 491.549; 
0.74; 310; 52.4168; 498.112; 
0.74; 315; 52.4168; 504.514; 
0.74; 320; 52.4168; 510.796; 
0.74; 325; 52.4168; 517.009; 
0.74; 330; 52.4168; 523.061; 
0.74; 335; 52.4168; 528.882; 
0.74; 340; 52.4168; 534.575; 
0.74; 345; 52.4168; 540.054; 
0.74; 350; 52.4168; 545.09; 
0.74; 355; 52.4168; 549.866; 
0.74; 360; 52.4168; 554.183; 
0.74; 365; 52.4168; 557.675; 
0.74; 370; 52.4168; 560.275; 
0.74; 375; 52.4168; 560.966; 
0.74; 380; 52.4168; 560.584; 
0.74; 385; 52.4168; 559.327; 
0.74; 390; 52.4168; 557.233; 
0.74; 395; 52.4168; 554.308; 
0.74; 400; 52.4168; 550.226; 
0.74; 405; 52.4168; 545.179; 
0.74; 260; 53.6952; 427.805; 
0.74; 265; 53.6952; 434.448; 
0.74; 270; 53.6952; 441.036; 
0.74; 275; 53.6952; 447.673; 
0.74; 280; 53.6952; 454.315; 
0.74; 285; 53.6952; 460.857; 
0.74; 290; 53.6952; 467.39; 
0.74; 295; 53.6952; 473.924; 
0.74; 300; 53.6952; 480.284; 
0.74; 305; 53.6952; 486.609; 
0.74; 310; 53.6952; 492.899; 
0.74; 315; 53.6952; 499.015; 
0.74; 320; 53.6952; 504.998; 
0.74; 325; 53.6952; 510.897; 
0.74; 330; 53.6952; 516.622; 
0.74; 335; 53.6952; 522.097; 
0.74; 340; 53.6952; 527.381; 
0.74; 345; 53.6952; 532.408; 
0.74; 350; 53.6952; 536.99; 
0.74; 355; 53.6952; 541.122; 
0.74; 360; 53.6952; 544.88; 
0.74; 365; 53.6952; 547.46; 
0.74; 370; 53.6952; 548.141; 
0.74; 375; 53.6952; 547.834; 
0.74; 380; 53.6952; 546.639; 
0.74; 385; 53.6952; 544.576; 
0.74; 390; 53.6952; 541.714; 
0.74; 395; 53.6952; 537.763; 
0.74; 400; 53.6952; 532.824; 
0.74; 405; 53.6952; 524.996; 
0.74; 260; 54.9737; 424.774; 
0.74; 265; 54.9737; 431.216; 
0.74; 270; 54.9737; 437.628; 
0.74; 275; 54.9737; 444.078; 
0.74; 280; 54.9737; 450.519; 
0.74; 285; 54.9737; 456.835; 
0.74; 290; 54.9737; 463.141; 
0.74; 295; 54.9737; 469.441; 
0.74; 300; 54.9737; 475.555; 
0.74; 305; 54.9737; 481.622; 
0.74; 310; 54.9737; 487.638; 
0.74; 315; 54.9737; 493.47; 
0.74; 320; 54.9737; 499.155; 
0.74; 325; 54.9737; 504.743; 
0.74; 330; 54.9737; 510.139; 
0.74; 335; 54.9737; 515.224; 
0.74; 340; 54.9737; 520.079; 
0.74; 345; 54.9737; 524.675; 
0.74; 350; 54.9737; 528.644; 
0.74; 355; 54.9737; 532.251; 
0.74; 360; 54.9737; 535.052; 
0.74; 365; 54.9737; 535.887; 
0.74; 370; 54.9737; 535.606; 
0.74; 375; 54.9737; 534.515; 
0.74; 380; 54.9737; 532.534; 
0.74; 385; 54.9737; 529.731; 
0.74; 390; 54.9737; 525.897; 
0.74; 395; 54.9737; 521.133; 
0.74; 400; 54.9737; 513.522; 
0.74; 405; 54.9737; 504.013; 
0.74; 260; 56.2521; 421.676; 
0.74; 265; 56.2521; 427.949; 
0.74; 270; 56.2521; 434.183; 
0.74; 275; 56.2521; 440.442; 
0.74; 280; 56.2521; 446.671; 
0.74; 285; 56.2521; 452.764; 
0.74; 290; 56.2521; 458.848; 
0.74; 295; 56.2521; 464.914; 
0.74; 300; 56.2521; 470.782; 
0.74; 305; 56.2521; 476.59; 
0.74; 310; 56.2521; 482.335; 
0.74; 315; 56.2521; 487.883; 
