# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_approach_landing_gear_out_design_600_plot.csv
# Clean Polar
# Mach Number 0.200000
AoA; C_L; C_Dtotal; C_M; L/D; i_stab;
-6.138;0.7600;0.112369;-0.340705;6.763437;6.000000;
-6.027;0.7700;0.112778;-0.342959;6.827580;6.000000;
-5.917;0.7800;0.113197;-0.345212;6.890657;6.000000;
-5.806;0.7900;0.113626;-0.347465;6.952662;6.000000;
-5.695;0.8000;0.114064;-0.349719;7.013593;6.000000;
-5.585;0.8100;0.114513;-0.351972;7.073444;6.000000;
-5.474;0.8200;0.114971;-0.354226;7.132215;6.000000;
-5.364;0.8300;0.115440;-0.356479;7.189901;6.000000;
-5.253;0.8400;0.115918;-0.358732;7.246502;6.000000;
-5.143;0.8500;0.116406;-0.360986;7.302017;6.000000;
-5.032;0.8600;0.116904;-0.363239;7.356445;6.000000;
-4.922;0.8700;0.117412;-0.365493;7.409786;6.000000;
-4.811;0.8800;0.117930;-0.367746;7.462041;6.000000;
-4.701;0.8900;0.118458;-0.369999;7.513211;6.000000;
-4.590;0.9000;0.118996;-0.372253;7.563297;6.000000;
-4.479;0.9100;0.119543;-0.374506;7.612302;6.000000;
-4.369;0.9200;0.120101;-0.376759;7.660228;6.000000;
-4.258;0.9300;0.120668;-0.379013;7.707079;6.000000;
-4.148;0.9400;0.121246;-0.381266;7.752858;6.000000;
-4.037;0.9500;0.121833;-0.383520;7.797570;6.000000;
-3.927;0.9600;0.122430;-0.385773;7.841218;6.000000;
-3.816;0.9700;0.123037;-0.388026;7.883808;6.000000;
-3.706;0.9800;0.123654;-0.390280;7.925345;6.000000;
-3.595;0.9900;0.124281;-0.392533;7.965835;6.000000;
-3.485;1.0000;0.124917;-0.394786;8.005284;6.000000;
-3.374;1.0100;0.125564;-0.397040;8.043698;6.000000;
-3.264;1.0200;0.126221;-0.399293;8.081084;6.000000;
-3.153;1.0300;0.126887;-0.401547;8.117450;6.000000;
-3.042;1.0400;0.127563;-0.403800;8.152803;6.000000;
-2.932;1.0500;0.128250;-0.406053;8.187151;6.000000;
-2.821;1.0600;0.128946;-0.408307;8.220502;6.000000;
-2.711;1.0700;0.129652;-0.410560;8.252865;6.000000;
-2.600;1.0800;0.130368;-0.412813;8.284247;6.000000;
-2.490;1.0900;0.131094;-0.415067;8.314659;6.000000;
-2.379;1.1000;0.131830;-0.417320;8.344109;6.000000;
-2.269;1.1100;0.132575;-0.419574;8.372606;6.000000;
-2.158;1.1200;0.133331;-0.421827;8.400161;6.000000;
-2.048;1.1300;0.134096;-0.424080;8.426783;6.000000;
-1.937;1.1400;0.134872;-0.426334;8.452482;6.000000;
-1.826;1.1500;0.135657;-0.428587;8.477268;6.000000;
-1.716;1.1600;0.136452;-0.430840;8.501152;6.000000;
-1.605;1.1700;0.137257;-0.433094;8.524144;6.000000;
-1.495;1.1800;0.138072;-0.435347;8.546255;6.000000;
-1.384;1.1900;0.138897;-0.437601;8.567496;6.000000;
-1.274;1.2000;0.139732;-0.439854;8.587877;6.000000;
-1.163;1.2100;0.140577;-0.442107;8.607410;6.000000;
-1.053;1.2200;0.141431;-0.444361;8.626106;6.000000;
-0.942;1.2300;0.142296;-0.446614;8.643975;6.000000;
-0.832;1.2400;0.143170;-0.448867;8.661029;6.000000;
-0.721;1.2500;0.144054;-0.451121;8.677280;6.000000;
-0.611;1.2600;0.144949;-0.453374;8.692739;6.000000;
-0.500;1.2700;0.145853;-0.455628;8.707416;6.000000;
-0.389;1.2800;0.146767;-0.457881;8.721325;6.000000;
-0.279;1.2900;0.147691;-0.460134;8.734475;6.000000;
-0.168;1.3000;0.148624;-0.462388;8.746880;6.000000;
-0.058;1.3100;0.149568;-0.464641;8.758549;6.000000;
0.053;1.3200;0.150522;-0.466894;8.769495;6.000000;
0.163;1.3300;0.151485;-0.469148;8.779729;6.000000;
0.274;1.3400;0.152459;-0.471401;8.789263;6.000000;
0.384;1.3500;0.153442;-0.473655;8.798108;6.000000;
0.495;1.3600;0.154435;-0.475908;8.806276;6.000000;
0.605;1.3700;0.155438;-0.478161;8.813778;6.000000;
0.716;1.3800;0.156451;-0.480415;8.820625;6.000000;
0.827;1.3900;0.157474;-0.482668;8.826830;6.000000;
0.937;1.4000;0.158507;-0.484921;8.832402;6.000000;
1.048;1.4100;0.159550;-0.487175;8.837353;6.000000;
1.158;1.4200;0.160603;-0.489428;8.841695;6.000000;
1.269;1.4300;0.161665;-0.491682;8.845439;6.000000;
1.379;1.4400;0.162738;-0.493935;8.848595;6.000000;
1.490;1.4500;0.163820;-0.496188;8.851175;6.000000;
1.600;1.4600;0.164912;-0.498442;8.853189;6.000000;
1.711;1.4700;0.166014;-0.500695;8.854649;6.000000;
1.821;1.4800;0.167127;-0.502948;8.855564;6.000000;
1.932;1.4900;0.168249;-0.505202;8.855947;6.000000;
2.043;1.5000;0.169380;-0.507455;8.855806;6.000000;
2.153;1.5100;0.170522;-0.509709;8.855153;6.000000;
2.264;1.5200;0.171674;-0.511962;8.853998;6.000000;
2.374;1.5300;0.172835;-0.514215;8.852351;6.000000;
2.485;1.5400;0.174007;-0.516469;8.850222;6.000000;
2.595;1.5500;0.175188;-0.518722;8.847622;6.000000;
2.706;1.5600;0.176380;-0.520975;8.844560;6.000000;
2.816;1.5700;0.177581;-0.523229;8.841046;6.000000;
2.927;1.5800;0.178792;-0.525482;8.837090;6.000000;
3.037;1.5900;0.180013;-0.527736;8.832701;6.000000;
3.148;1.6000;0.181244;-0.529989;8.827889;6.000000;
3.258;1.6100;0.182485;-0.532242;8.822662;6.000000;
3.369;1.6200;0.183735;-0.534496;8.817032;6.000000;
3.480;1.6300;0.184996;-0.536749;8.811006;6.000000;
3.590;1.6400;0.186266;-0.539002;8.804593;6.000000;
3.701;1.6500;0.187547;-0.541256;8.797802;6.000000;
3.811;1.6600;0.188837;-0.543509;8.790643;6.000000;
3.922;1.6700;0.190137;-0.545763;8.783123;6.000000;
4.032;1.6800;0.191447;-0.548016;8.775252;6.000000;
4.143;1.6900;0.192768;-0.550269;8.767037;6.000000;
4.253;1.7000;0.194097;-0.552523;8.758487;6.000000;
4.364;1.7100;0.195437;-0.554776;8.749610;6.000000;
4.474;1.7200;0.196787;-0.557029;8.740414;6.000000;
4.585;1.7300;0.198147;-0.559283;8.730907;6.000000;
4.696;1.7400;0.199516;-0.561536;8.721097;6.000000;
4.806;1.7500;0.200896;-0.563790;8.710991;6.000000;
4.917;1.7600;0.202285;-0.566043;8.700597;6.000000;
5.027;1.7700;0.203684;-0.568296;8.689922;6.000000;
5.138;1.7800;0.205093;-0.570550;8.678974;6.000000;
5.248;1.7900;0.206512;-0.572803;8.667759;6.000000;
5.359;1.8000;0.207941;-0.575056;8.656286;6.000000;
5.469;1.8100;0.209380;-0.577310;8.644560;6.000000;
5.580;1.8200;0.210829;-0.579563;8.632588;6.000000;
5.690;1.8300;0.212288;-0.581817;8.620378;6.000000;
5.801;1.8400;0.213756;-0.584070;8.607936;6.000000;
5.911;1.8500;0.215235;-0.586323;8.595268;6.000000;
6.022;1.8600;0.216723;-0.588577;8.582381;6.000000;
6.133;1.8700;0.218221;-0.590830;8.569281;6.000000;
6.243;1.8800;0.219730;-0.593083;8.555974;6.000000;
6.354;1.8900;0.221248;-0.595337;8.542466;6.000000;
6.464;1.9000;0.222776;-0.597590;8.528762;6.000000;
6.575;1.9100;0.224313;-0.599844;8.514870;6.000000;
6.685;1.9200;0.225861;-0.602097;8.500794;6.000000;
6.796;1.9300;0.227419;-0.604350;8.486540;6.000000;
6.906;1.9400;0.228987;-0.606604;8.472114;6.000000;
7.017;1.9500;0.230564;-0.608857;8.457520;6.000000;
7.127;1.9600;0.232151;-0.611110;8.442765;6.000000;
7.238;1.9700;0.233749;-0.613364;8.427853;6.000000;
7.349;1.9800;0.235356;-0.615617;8.412790;6.000000;
7.459;1.9900;0.236973;-0.617871;8.397580;6.000000;
7.570;2.0000;0.238600;-0.620124;8.382228;6.000000;
7.680;2.0100;0.240237;-0.622377;8.366739;6.000000;
7.791;2.0200;0.241884;-0.624631;8.351118;6.000000;
7.901;2.0300;0.243540;-0.626884;8.335369;6.000000;
8.012;2.0400;0.245207;-0.629137;8.319498;6.000000;
8.122;2.0500;0.246884;-0.631391;8.303507;6.000000;
8.233;2.0600;0.248570;-0.633644;8.287402;6.000000;
8.343;2.0700;0.250266;-0.635898;8.271187;6.000000;
8.454;2.0800;0.251973;-0.638151;8.254865;6.000000;
8.564;2.0900;0.253689;-0.640404;8.238442;6.000000;
8.675;2.1000;0.255415;-0.642658;8.221920;6.000000;
8.786;2.1100;0.257151;-0.644911;8.205304;6.000000;
8.896;2.1200;0.258897;-0.647164;8.188598;6.000000;
9.007;2.1300;0.260652;-0.649418;8.171805;6.000000;
9.117;2.1400;0.262418;-0.651671;8.154930;6.000000;
9.228;2.1500;0.264194;-0.653925;8.137974;6.000000;
9.338;2.1600;0.265979;-0.656178;8.120943;6.000000;
9.449;2.1700;0.267774;-0.658431;8.103839;6.000000;
9.559;2.1800;0.269580;-0.660685;8.086666;6.000000;
9.670;2.1900;0.271395;-0.662938;8.069427;6.000000;
9.780;2.2000;0.273220;-0.665191;8.052125;6.000000;
9.891;2.2100;0.275055;-0.667445;8.034764;6.000000;
10.002;2.2200;0.276900;-0.669698;8.017345;6.000000;
10.112;2.2300;0.278754;-0.671952;7.999874;6.000000;
10.223;2.2400;0.280619;-0.674205;7.982351;6.000000;
10.333;2.2500;0.282494;-0.676458;7.964781;6.000000;
10.444;2.2600;0.284378;-0.678712;7.947165;6.000000;
10.554;2.2700;0.286273;-0.680965;7.929507;6.000000;
10.665;2.2800;0.288177;-0.683218;7.911810;6.000000;
10.775;2.2900;0.290091;-0.685472;7.894075;6.000000;
10.886;2.3000;0.292015;-0.687725;7.876306;6.000000;
10.996;2.3100;0.293949;-0.689979;7.858504;6.000000;
11.107;2.3200;0.295893;-0.692232;7.840673;6.000000;
11.217;2.3300;0.297847;-0.694485;7.822815;6.000000;
11.328;2.3400;0.299810;-0.696739;7.804931;6.000000;
11.439;2.3500;0.301784;-0.698992;7.787025;6.000000;
11.549;2.3600;0.303768;-0.701245;7.769098;6.000000;
11.660;2.3700;0.305761;-0.703499;7.751152;6.000000;
11.770;2.3800;0.307764;-0.705752;7.733191;6.000000;
